DateTime,Timestamp
2025-06-28T07:00:00.942Z,1751094000942530169
2025-06-28T07:00:01.559Z,1751094001559503839
2025-06-28T07:00:05.442Z,1751094005442932859
2025-06-28T07:00:05.882Z,1751094005882209944
2025-06-28T07:00:06.182Z,1751094006182723648
2025-06-28T07:00:06.397Z,1751094006397138454
2025-06-28T07:00:08.257Z,1751094008257143952
2025-06-28T07:00:10.024Z,1751094010024828386
2025-06-28T07:00:12.494Z,1751094012494326420
2025-06-28T07:00:13.893Z,1751094013893934339
2025-06-28T07:00:14.085Z,1751094014085387052
2025-06-28T07:00:14.105Z,1751094014105524012
2025-06-28T07:00:17.610Z,1751094017610919468
2025-06-28T07:00:18.797Z,1751094018797590705
2025-06-28T07:00:20.703Z,1751094020703743562
2025-06-28T07:00:21.126Z,1751094021126446869
2025-06-28T07:00:24.360Z,1751094024360025252
2025-06-28T07:00:24.523Z,1751094024523769052
2025-06-28T07:00:25.814Z,1751094025814558579
2025-06-28T07:00:26.255Z,1751094026255181732
2025-06-28T07:00:26.285Z,1751094026285982448
2025-06-28T07:00:26.578Z,1751094026578890649
2025-06-28T07:00:27.189Z,1751094027189248628
2025-06-28T07:00:29.723Z,1751094029723598429
2025-06-28T07:00:30.053Z,1751094030053222378
2025-06-28T07:00:32.971Z,1751094032971879629
2025-06-28T07:00:33.883Z,1751094033883226660
2025-06-28T07:00:34.012Z,1751094034012695591
2025-06-28T07:00:35.648Z,1751094035648320303
2025-06-28T07:00:36.629Z,1751094036629722652
2025-06-28T07:00:38.050Z,1751094038050751244
2025-06-28T07:00:39.977Z,1751094039977930154
2025-06-28T07:00:40.827Z,1751094040827520461
2025-06-28T07:00:42.342Z,1751094042342910714
2025-06-28T07:00:43.054Z,1751094043054495841
2025-06-28T07:00:45.310Z,1751094045310835608
2025-06-28T07:00:47.497Z,1751094047497494021
2025-06-28T07:00:49.753Z,1751094049753331234
2025-06-28T07:00:51.061Z,1751094051061329729
2025-06-28T07:00:52.350Z,1751094052350330788
2025-06-28T07:00:56.317Z,1751094056317801909
2025-06-28T07:00:57.967Z,1751094057967617345
2025-06-28T07:00:57.998Z,1751094057998449184
2025-06-28T07:01:01.332Z,1751094061332223563
2025-06-28T07:01:02.828Z,1751094062828017507
2025-06-28T07:01:03.210Z,1751094063210602333
2025-06-28T07:01:03.551Z,1751094063551228830
2025-06-28T07:01:04.081Z,1751094064081570759
2025-06-28T07:01:04.194Z,1751094064194860026
2025-06-28T07:01:05.414Z,1751094065414449194
2025-06-28T07:01:05.594Z,1751094065594738283
2025-06-28T07:01:06.357Z,1751094066357461450
2025-06-28T07:01:08.753Z,1751094068753860493
2025-06-28T07:01:11.179Z,1751094071179193396
2025-06-28T07:01:11.814Z,1751094071814902288
2025-06-28T07:01:13.829Z,1751094073829882867
2025-06-28T07:01:14.674Z,1751094074674919126
2025-06-28T07:01:14.767Z,1751094074767715512
2025-06-28T07:01:14.823Z,1751094074823504460
2025-06-28T07:01:15.462Z,1751094075462752878
2025-06-28T07:01:16.930Z,1751094076930316796
2025-06-28T07:01:16.958Z,1751094076958752523
2025-06-28T07:01:17.973Z,1751094077973584046
2025-06-28T07:01:18.367Z,1751094078367571164
2025-06-28T07:01:18.471Z,1751094078471189277
2025-06-28T07:01:21.834Z,1751094081834311163
2025-06-28T07:01:22.469Z,1751094082469375919
2025-06-28T07:01:24.058Z,1751094084058614244
2025-06-28T07:01:25.856Z,1751094085856089044
2025-06-28T07:01:26.012Z,1751094086012399902
2025-06-28T07:01:26.197Z,1751094086197342209
2025-06-28T07:01:26.917Z,1751094086917265844
2025-06-28T07:01:27.723Z,1751094087723725465
2025-06-28T07:01:28.093Z,1751094088093924000
2025-06-28T07:01:29.497Z,1751094089497707298
2025-06-28T07:01:29.888Z,1751094089888804596
2025-06-28T07:01:30.022Z,1751094090022741145
